epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2050839513540268,9.999999747378752e-05,1.988600730895996,0.22843749821186066,1.8441402912139893
1,0.25718748569488525,9.999999747378752e-05,1.8471282720565796,0.31031250953674316,1.7748953104019165
2,0.32906249165534973,9.999999747378752e-05,1.7207746505737305,0.4074550271034241,1.6197351217269897
3,0.3854687511920929,9.999999747378752e-05,1.628156304359436,0.44749999046325684,1.4761947393417358
4,0.42283162474632263,9.999999747378752e-05,1.5304391384124756,0.46156251430511475,1.438424825668335
5,0.43229249119758606,9.999999747378752e-05,1.4984774589538574,0.47043702006340027,1.3339768648147583
6,0.45359376072883606,9.999999747378752e-05,1.4356974363327026,0.49000000953674316,1.3509833812713623
7,0.47062501311302185,9.999999747378752e-05,1.356123447418213,0.5178124904632568,1.2569184303283691
8,0.4920312464237213,9.999999747378752e-05,1.2900668382644653,0.5102827548980713,1.2624658346176147
9,0.5089285969734192,9.999999747378752e-05,1.3097717761993408,0.526562511920929,1.2348498106002808
10,0.5064062476158142,9.999999747378752e-05,1.2552142143249512,0.5690624713897705,1.1260205507278442
11,0.5303124785423279,9.999999747378752e-05,1.196664571762085,0.5501285195350647,1.1898859739303589
12,0.53515625,9.999999747378752e-05,1.1821961402893066,0.557812511920929,1.1632115840911865
13,0.5546875,9.999999747378752e-05,1.1184570789337158,0.5837500095367432,1.1005829572677612
14,0.5487294793128967,9.999999747378752e-05,1.1321896314620972,0.5809768438339233,1.0904539823532104
15,0.5571944117546082,9.999999747378752e-05,1.135226845741272,0.5931249856948853,1.0816593170166016
16,0.55859375,9.999999747378752e-05,1.1081631183624268,0.604687511920929,1.054038643836975
17,0.5731250047683716,9.999999747378752e-05,1.0916894674301147,0.6182519197463989,1.0271583795547485
18,0.5893750190734863,9.999999747378752e-05,1.0604249238967896,0.6084374785423279,1.0487830638885498
19,0.5825892686843872,9.999999747378752e-05,1.0515753030776978,0.6015625,1.0669149160385132
20,0.59375,9.999999747378752e-05,1.0449445247650146,0.6156812310218811,1.0247154235839844
21,0.5912443399429321,9.999999747378752e-05,1.0100421905517578,0.6237499713897705,1.0112847089767456
22,0.5989062786102295,9.999999747378752e-05,1.0359004735946655,0.6212499737739563,1.0302493572235107
23,0.6153125166893005,9.999999747378752e-05,0.9724882245063782,0.6233932971954346,1.0109012126922607
24,0.6074617505073547,9.999999747378752e-05,0.989155650138855,0.6212499737739563,1.0172537565231323
25,0.6282755136489868,9.999999747378752e-05,0.9484626054763794,0.6221874952316284,1.0057344436645508
26,0.6403124928474426,9.999999747378752e-05,0.926246702671051,0.6452442407608032,0.9710894227027893
27,0.6221874952316284,9.999999747378752e-05,0.9502661824226379,0.6256250143051147,0.9849852919578552
28,0.6290624737739563,9.999999747378752e-05,0.9342191815376282,0.6318749785423279,0.9955953359603882
29,0.6419005393981934,9.999999747378752e-05,0.8957513570785522,0.622107982635498,1.0643929243087769
